head	tail	context	relation_type
C0019168	C0019167	C0019159	Regulation
C0019168	C0019167	C0019163	Decrease
C0385939	C0694891	C0027651	Binding
C0137209	C0105770	C0027651	Binding
C0006611	C0010803	C0027651	Binding
C0006611	C1414471	C0027651	Binding
C0249880	C0288472	C0027651	Increase
C0080055	C0249880	C0027651	Binding
C0169665	C0080055	C0027651	Increase
C0034804	C0007427	C0027651	Decrease
C0034804	C0034833	C0027651	Binding
C0021747	C3652465	C0019196	Binding
C0010803	C0027758	C0027651	Decrease
C0042666	C0010803	C0027651	Regulation
C0008586	C0010803	C0027651	Decrease
C0042666	C0027758	C0027651	Regulation
C0027758	C0008586	C0027651	Regulation
C0042666	C0008586	C0027651	Decrease
C0042666	C0006611	C0027651	Regulation
C0010287	C1456820	C0027651	Binding
C1456820	C1533698	C0027651	Binding
C0021756	C0021758	C0013595	Binding
C0021756	C0021745	C0013595	Regulation
C0021745	C0021758	C0013595	Binding
C0021759	C0021745	C0013595	Binding
C0021760	C1456820	C0008495	Binding
C0667830	C0015683	C0027651	Binding
C0010656	C0259419	C0027651	Decrease
C0259419	C0015683	C0027651	Regulation
C0077503	C0010656	C0027651	Regulation
C0291573	C0010656	C0027651	Binding
C0077503	C0015683	C0027651	Binding
C0077503	C0015683	C0333516	Binding
C0015683	C0291573	C0027651	Binding
C0291573	C0015683	C0333516	Regulation
C0042666	C1441165	C0027651	Binding
C0919534	C1333715	C1306459	Binding
C0021760	C1456820	C0019189	Binding
C0123759	C1456820	C0019189	Regulation
C0123759	C0021760	C0019189	Regulation
C0085295	C1456820	C0019189	Binding
C0002199	C1456820	C0019189	Decrease
C0040690	C1456820	C0027651	Increase
C1456820	C1610033	C0027651	Decrease
C0002199	C1456820	C0027651	Regulation
C0021760	C0040690	C0027651	Binding
C1610033	C0021760	C0027651	Binding
C1610033	C0021760	C0019189	Binding
C0002199	C0021760	C0027651	Regulation
C0002199	C0021760	C0019189	Regulation
C0040690	C0085295	C0027651	Binding
C0085295	C0002199	C0027651	Regulation
C0040690	C1610033	C0027651	Regulation
C0002199	C0040690	C0027651	Binding
C1610033	C0002199	C0027651	Binding
C0002199	C1610033	C0019189	Binding
C0038838	C0007367	C0022658	Regulation
C0079785	C1136310	C0027651	Regulation
C1136310	C1456820	C0027651	Binding
C0079419	C0080055	C0027651	Binding
C0209606	C0079785	C1306759	Binding
C0059735	C0919534	C0678222	Binding
C0919534	C0537086	C0678222	Binding
C0919534	C1333715	C0678222	Binding
C0537086	C1333715	C0678222	Binding
C0021745	C0002199	C0279702	Binding
C0080055	C0665577	C0027651	Binding
C0079414	C0080055	C0027651	Binding
C0071216	C0042071	C0235974	Regulation
C0105770	C0082859	C1306459	Binding
C0019643	C0243045	C0023418	Regulation
C0106132	C0034802	C0027651	Binding
C1412365	C0002059	C0027651	Binding
C1334346	C0077503	C0027651	Binding
